standing,time,count
B,09:00,15
B,09:15,19
B,09:30,8
B,09:45,14
B,10:00,21
B,10:15,21
B,10:30,11
B,10:45,13
B,11:00,14
B,11:15,16
B,11:30,5
B,12:00,4
B,12:15,18
B,12:30,27
B,12:45,52
B,13:00,52
B,13:15,69
B,13:30,32
B,13:45,28
B,14:00,45
B,14:15,19
B,14:30,20
B,14:45,16
B,15:00,29
B,15:15,92
B,15:30,30
B,15:45,16
B,16:00,12
B,16:15,23
B,16:30,15
B,16:45,14
B,17:00,15
B,17:15,31
B,17:30,57
B,17:45,29
B,18:00,17
B,18:15,40
B,18:30,25
B,18:45,11
B,19:00,1
G,10:00,2
G,10:30,1
G,10:45,2
G,11:00,1
G,12:30,4
G,12:45,1
G,13:00,7
G,13:15,3
G,13:30,4
G,13:45,2
G,14:00,1
G,14:15,3
G,14:30,7
G,14:45,3
G,15:00,5
G,15:15,10
G,15:30,3
G,15:45,3
G,16:00,2
G,16:15,5
G,16:30,1
G,16:45,2
G,17:00,3
G,17:15,4
G,17:30,2
G,17:45,2
G,18:00,2
G,18:15,4
G,18:30,2
G,18:45,3
